condition,id,display_text,english_gloss,list_primary,list_secondary,pred_top1,pred_top2,pred_top3,top1_confidence,hits1,hits3,partial_credit,used_rag,n_passages_survived,top1_reasoning
CRAG_judge_kannada,1,ಎನ್ನ ಧನಿ ಕಾಸ್ನ್ ವಾಪಸ್ ಕೊರ್ತಿಜೇರ್.,My landlord did not give back my money,Housing,Consumer/Money/Debt,Consumer/Money/Debt,Torts/Individuals,Estates/Wills,0.90,False,True,True,True,3,The situation appears to be related to the person's financial struggles and income/expenses.
CRAG_judge_kannada,2,ಎನ್ನ ಧನಿ ಈ ತಿಂಗೋಲ್ದ ಸಂಬಳನ್ ಕೊರ್ತಿಜೇರ್.,My employer did not pay me this month,Work/Employment,,Consumer/Money/Debt,Courts/Legal-System,IP/Identity,0.80,False,False,False,True,3,The situation appears to be related to financial issues and income.
CRAG_judge_kannada,3,ಏರಾ ಎನ್ನ ಬೇಲಿನ್ ಹಾಳ್ ಮಲ್ತ್ದ್ ನನ್ಲಾ ಸರಿ ಮಲ್ತಿಜೇರ್.,Someone broke my fence and did not fix it,Torts/Individuals,,Land/Property,Torts/Individuals,Work/Employment,0.90,False,True,True,True,2,The situation involves the person's family property and inheritance.
CRAG_judge_kannada,4,ಯಾನ್ ಏರೇಗಾ ಕಾಸ್ ಕೊರಿ ಬೊಕ್ಕ ಅಕುಲು ತಪ್ಪಾಯೇರ್.,I gave someone money and they disappeared,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Housing,0.90,True,True,False,True,3,The person is facing a financial crisis and unable to pay their debts.
CRAG_judge_kannada,5,ಎನ್ನ ಬರೀತಕುಲು ಎನ್ನ ಜಾಗನ್ ದೆತ್ತೇರ್.,My neighbor took my land,Land/Property,,Courts/Legal-System,Torts/Individuals,Housing,0.90,False,False,False,True,3,"The situation involves a family dispute, which may require legal intervention or guidance."
CRAG_judge_kannada,6,ಏರಾ ಎಂಕ್ ಬಡುಟು ಆಕಿ ಬೊಕ್ಕ ಎನ್ನ ಕೈ ಬೇನೆ ಆವೊಂದುಂಡು.,After someone hit me with a stick my hand hurts,Torts/Individuals,,Work/Employment,Torts/Individuals,IP/Identity,0.90,False,True,True,True,2,The person is describing their work experience and the issue they are facing seems to be related to their job or profession.
CRAG_judge_kannada,7,ಎನ್ನ ಧನಿ ಕಾರಣ ಕೊರಂದೆ ಯಾನ್ ಕೆಲಸ ಬುಡೊಡು ಪಂದ್ ಪಂಡೆರ್.,My boss told me to leave without any reason,Work/Employment,,Courts/Legal-System,Work/Employment,Torts/Individuals,0.90,False,True,True,True,3,"The situation involves a legal issue, specifically an appeal or complaint being filed in court."
CRAG_judge_kannada,8,ಯಾನ್ ಸಾಲ ಕೊರಿ ಬೊಕ್ಕ ಎಂಕ್ ಕಾಸ್ ವಾಪಾಸ್ ಕೊರೋಂದಿಜ್ಜೆರ್.,The person I lent money to is not returning it,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.80,True,True,False,True,3,The person is struggling to pay off debts and needs help managing their finances.
CRAG_judge_kannada,9,ಎನ್ನ ಓಪ್ಪಿಗೆ ಇಜ್ಜಂದೆ ಏರೋ ಎನ್ನ ಇಲ್ಲ್ದ ಉಲಯಿ ಬತ್ತೇರ್.,Someone came into my house without my permission,Housing,,Housing,Torts/Individuals,Consumer/Money/Debt,0.90,True,True,False,True,3,"The situation involves a dispute over a property, which is a type of housing issue."
CRAG_judge_kannada,10,ಅಕಲೆಗ್ ಎಂಕುಲು ನಿರ್ಣಯ ಮಲ್ತಿನ ಐಡ್ದ್ ಜಾಸ್ತಿ ಕಾಸ್ ಕೇನೋಂದುಲೇರ್.,They want more money than what we decided,Consumer/Money/Debt,,Estates/Wills,Torts/Individuals,Courts/Legal-System,0.90,False,False,False,True,3,"The situation mentions inheritance and property rights, which strongly suggests a dispute related to wills or estates."
