condition,id,display_text,english_gloss,list_primary,list_secondary,pred_top1,pred_top2,pred_top3,top1_confidence,hits1,hits3,partial_credit,top1_reasoning
G_RomanizedOnly,1,enna yejamaana enna kas wapas koryiijare,My landlord did not give back my money,Housing,Consumer/Money/Debt,Housing,Torts/Individuals,Consumer/Money/Debt,0.95,True,True,False,Trespassing into a home or dwelling without permission
G_RomanizedOnly,2,enna dhani i thingoal kas koryijare,My employer did not pay me this month,Work/Employment,,Housing,Torts/Individuals,Courts/Legal-System,0.95,False,False,False,Unauthorized entry into a home or dwelling
G_RomanizedOnly,3,yera enna bailee tundu maltd'd eddae maltijji,Someone broke my fence and did not fix it,Torts/Individuals,,Torts/Individuals,Housing,Torts/Individuals,0.85,True,True,False,"Someone is trying to enter a house without permission, which could lead to property damage or personal injury."
G_RomanizedOnly,4,yan yera-g kas kori boca al poyal,I gave someone money and they disappeared,Consumer/Money/Debt,,Housing,Torts/Individuals,Courts/Legal-System,0.95,False,False,False,Unauthorized entry into a home or dwelling
G_RomanizedOnly,5,enna nerakare enna jagga detae,My neighbor took my land,Land/Property,,Torts/Individuals,Housing,Land/Property,0.95,False,True,True,Someone entering another person's property without permission
G_RomanizedOnly,6,yera enan badutu padi boca enna kai benae undu,After someone hit me with a stick my hand hurts,Torts/Individuals,,Housing,Torts/Individuals,Courts/Legal-System,0.95,False,True,True,Trespassing into a home without permission
G_RomanizedOnly,7,enna dhani yan podu panda pandare matra dal karana kori-ijjar,My boss told me to leave without any reason,Work/Employment,,Land/Property,Torts/Individuals,Housing,0.85,False,False,False,Someone occupying your land or property without permission and refusing to leave
G_RomanizedOnly,8,yan kas sala kenuna jana wapas koryijare,The person I lent money to is not returning it,Consumer/Money/Debt,,Housing,Torts/Individuals,Courts/Legal-System,0.85,False,False,False,Unauthorized entry into a dwelling and refusal to vacate
G_RomanizedOnly,9,enna oppigay ijjandae yera enna ille-g battae,Someone came into my house without my permission,Housing,Land/Property,Housing,Torts/Individuals,Consumer/Money/Debt,0.95,True,True,False,Unauthorized entry into a home or dwelling
G_RomanizedOnly,10,akleg enkulu yette nirnaya maltina kas jasti bodu,They want more money than what we decided,Consumer/Money/Debt,,Housing,Torts/Individuals,Land/Property,0.85,False,False,False,Unauthorized entry into a home or dwelling
G_RomanizedOnly,11,enkulu yeppa mugiodu panda nirnaya malponaid dumbu mugiyere,They ended our agreement before the time we decided,Consumer/Money/Debt,Courts/Legal-System,Housing,Torts/Individuals,Courts/Legal-System,0.95,False,True,True,Someone entering your house without permission
G_RomanizedOnly,12,yan kakaji-da mittae pudar padyae matra dadae baryina panda gothiji,I signed a paper but did not understand what it said,Courts/Legal-System,Consumer/Money/Debt,Land/Property,Torts/Individuals,Housing,0.95,False,False,False,Boundary dispute between neighbors
G_RomanizedOnly,13,yan kakaji-da mitte pudar padi boca akulu dadae nirnaya maltere panda maltijere,After I signed the paper they did not do what they agreed to,Consumer/Money/Debt,,Torts/Individuals,Housing,IP/Identity,0.85,False,False,False,Property damage caused by another person's trespass
G_RomanizedOnly,14,enk wo court-g podu panda gothiji,I don't know which court I should go to,Courts/Legal-System,,Courts/Legal-System,Housing,Torts/Individuals,0.95,True,True,False,"The person is trying to enter a court or legal system, indicating confusion about the process."
G_RomanizedOnly,15,enk kas korodu-na jana betae jagga ullare,The person who owes me money is in a different place,Courts/Legal-System,Consumer/Money/Debt,Torts/Individuals,Housing,Land/Property,0.85,False,False,False,Someone entering your house without permission
G_RomanizedOnly,16,enna neerekare-na mara enna ille-da mitte burud'd hal maltinde,My neighbor's tree fell on my house and damaged it,Torts/Individuals,Housing,Housing,Torts/Individuals,Consumer/Money/Debt,0.95,False,True,True,Someone is trying to enter a person's home without permission.
