model,condition,id,display_text,english_gloss,list_primary,list_secondary,pred_top1,pred_top2,pred_top3,top1_confidence,hits1,hits3,partial_credit,top1_reasoning
llama3,A,21,My landlord is trying to raise my rent before our agreement ends,My landlord is trying to raise my rent before our agreement ends,Housing,Consumer/Money/Debt,Housing,Consumer/Money/Debt,Work/Employment,0.90,True,True,False,"The person's problem revolves around a dispute with their landlord regarding rent, which is directly related to housing."
llama3,A,22,The people next door make so much noise I cannot sleep at night,The people next door make so much noise I cannot sleep at night,Housing,Torts/Individuals,Torts/Individuals,Housing,Consumer/Money/Debt,0.90,False,True,True,"The situation involves a private nuisance caused by the neighbor's actions, which is a classic example of a tort."
llama3,A,23,My landlord will not fix the broken pipe in my kitchen,My landlord will not fix the broken pipe in my kitchen,Housing,,Housing,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,The situation involves a residential property and a landlord's responsibility to maintain it.
llama3,A,24,I was told to leave my rented house with only two days notice,I was told to leave my rented house with only two days notice,Housing,,Housing,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,The situation revolves around a rental property and the person's right to occupy it.
llama3,A,25,My roommate moved out and left me to pay all the rent,My roommate moved out and left me to pay all the rent,Housing,Consumer/Money/Debt,Consumer/Money/Debt,Housing,Torts/Individuals,0.90,False,True,True,The person is facing a financial problem due to their roommate leaving them with all the rent responsibilities.
llama3,A,26,The shop owner sold me a broken phone and won't give my money back,The shop owner sold me a broken phone and won't give my money back,Consumer/Money/Debt,,Torts/Individuals,Consumer/Money/Debt,Courts/Legal-System,0.90,False,True,True,The situation involves a dispute between two individuals and falls under tort law.
llama3,A,27,I paid for a service that was never completed,I paid for a service that was never completed,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,"The person paid for a service that was not completed, which is a classic example of a consumer issue involving money or debt."
llama3,A,28,My brother borrowed money from me two years ago and still has not paid,My brother borrowed money from me two years ago and still has not paid,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Housing,0.90,True,True,False,"The situation involves a personal loan between family members that has not been repaid, which falls under the broader category of consumer debt."
llama3,A,29,The bank is charging me fees I never agreed to,The bank is charging me fees I never agreed to,Consumer/Money/Debt,,Consumer/Money/Debt,Housing,Work/Employment,0.90,True,True,False,"The situation revolves around a financial transaction that the person did not agree to, which falls under consumer protection and debt-related issues."
llama3,A,30,Someone convinced me to invest in something that turned out to be fake,Someone convinced me to invest in something that turned out to be fake,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Work/Employment,0.90,True,True,False,"The person has invested in something that turned out to be fake, resulting in a financial loss."
