condition,id,display_text,english_gloss,retrieval_query,list_primary,list_secondary,pred_top1,pred_top2,pred_top3,top1_confidence,hits1,hits3,partial_credit,top_retrieval_score,top_retrieved_case,retrieved_doc_names,top1_reasoning
A_WithGloss,1,enna yejamaana enna kas wapas koryiijare,My landlord did not give back my money,My landlord did not give back my money,Housing,Consumer/Money/Debt,Consumer/Money/Debt,Torts/Individuals,Housing,0.90,False,True,True,0.3343,Sridhar P. vs. Ramesh,Sridhar P. | Ravishankara G.K. | Dr. Alfred Aranha,The situation involves a dispute over payment and the individual's financial interests are affecA_WithA_WithGloss,2,enna dhani i thingoal kas koryijare,My employer did not pay me this month,My employer did not pay me this month,Work/Employment,,Consumer/Money/Debt,Work/Employment,Torts/Individuals,0.90,False,True,True,0.3182,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Vishwajit Umesh Naik | Shanty Kokoth,The situation involves a payment issue with an employer.
A_WithGloss,3,yera enna bailee tundu maltd'd eddae maltijji,Someone broke my fence and did not fix it,Someone broke my fence and did not fix it,Torts/Individuals,,Torts/Individuals,Land/Property,Housing,0.90,True,True,False,0.3132,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Dr. Alfred Aranha | Nikitha A.,The person's property was damaged by another individual without permission.
A_WithGloss,4,yan yera-g kas kori boca al poyal,I gave someone money and they disappeared,I gave someone money and they disappeared,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,0.3308,Sridhar P. vs. Ramesh,Sridhar P. | Akkamma | Nikitha A.,The situation involves a financial transaction gone wrong.
A_WithGloss,5,enna nerakare enna jagga detae,My neighbor took my land,My neighbor took my land,Land/Property,,Land/Property,Torts/Individuals,Housing,0.90,True,True,False,0.3263,Dr. Alfred Aranha vs. Sahel Peter Aranha,Dr. Alfred Aranha | Neelamegham | State,The neighbor taking the person's land is a classic property dispute.
A_WithGloss,6,yera enan badutu padi boca enna kai benae undu,After someone hit me with a stick my hand hurts,After someone hit me with a stick my hand hurts,Torts/Individuals,,Torts/Individuals,Housing,Consumer/Money/Debt,0.95,True,True,False,0.3495,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Dr. Alfred Aranha | Nikitha A.,Physical harm caused by another individual's actions
A_WithGloss,7,enna dhani yan podu panda pandare matra dal karana kori-ijjar,My boss told me to leave without any reason,My boss told me to leave without any reason,Work/Employment,,Work/Employment,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,0.3378,Nikitha A. vs. Santhosh Ghatke,Nikitha A. | Neelamegham | Sadashiva Shetty,Unfair termination from job
A_WithGloss,8,yan kas sala kenuna jana wapas koryijare,The person I lent money to is not returning it,The person I lent money to is not returning it,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,IP/Identity,0.90,True,True,False,0.3419,Sridhar P. vs. Ramesh,Sridhar P. | Sadashiva Shetty | Nikitha A.,"The situation involves lending and borrowing of money, which falls under the broader category of consumer finance."
A_WithGloss,9,enna oppigay ijjandae yera enna ille-g battae,Someone came into my house without my permission,Someone came into my house without my permission,Housing,Land/Property,Torts/Individuals,Housing,Work/Employment,0.90,False,True,True,0.3482,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Neelamegham | Nikitha A.,Unauthorized entry into someone's property
A_WithGloss,10,akleg enkulu yette nirnaya maltina kas jasti bodu,They want more money than what we decided,They want more money than what we decided,Consumer/Money/Debt,,Consumer/Money/Debt,Housing,Work/Employment,0.90,True,True,False,0.3484,Nikitha A. vs. Santhosh Ghatke,Nikitha A. | Neelamegham | Sadashiva Shetty,Dispute over financial terms
A_WithGloss,11,enkulu yeppa mugiodu panda nirnaya malponaid dumbu mugiyere,They ended our agreement before the time we decided,They ended our agreement before the time we decided,Consumer/Money/Debt,Courts/Legal-System,Consumer/Money/Debt,Courts/Legal-System,Work/Employment,0.80,True,True,False,0.3679,Dr. Alfred Aranha vs. Sahel Peter Aranha,Dr. Alfred Aranha | Neelamegham | Nikitha A.,"The situation involves an agreement being ended prematurely, which implies a contractual or financial aspect."
A_WithGloss,12,yan kakaji-da mittae pudar padyae matra dadae baryina panda gothiji,I signed a paper but did not understand what it said,I signed a paper but did not understand what it said,Courts/Legal-System,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,Work/Employment,0.90,False,True,True,0.3579,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Nikitha A. | Vishwajit Umesh Naik,The situation involves an individual's rights and potential harm caused by their own actions.
A_WithGloss,13,yan kakaji-da mitte pudar padi boca akulu dadae nirnaya maltere panda maltijere,After I signed the paper they did not do what they agreed to,After I signed the paper they did not do what they agreed to,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,0.3392,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Nikitha A. | Vishwajit Umesh Naik,The situation involves a financial agreement that was not fulfilled.
