condition,id,display_text,english_gloss,list_primary,list_secondary,pred_top1,pred_top2,pred_top3,top1_confidence,hits1,hits3,partial_credit,top1_reasoning
I_TamilScript,1,என்ன யஜமான என்ன காஸு வாபஸ் கொர்திஜ்ஜரெ,My landlord did not give back my money,Housing,Consumer/Money/Debt,Housing,Consumer/Money/Debt,Torts/Individuals,0.85,True,True,False,Landlord-tenant deposit dispute
I_TamilScript,2,என்ன தனி ஈ திங்கொலு காஸு கொர்திஜ்ஜரெ,My employer did not pay me this month,Work/Employment,,Torts/Individuals,Housing,Consumer/Money/Debt,0.85,False,False,False,Someone entering your home without permission and refusing to leave
I_TamilScript,3,ஏரோ என்ன பைலி துண்டு மல்த்த் எட்டெ மல்திஜ்ஜி,Someone broke my fence and did not fix it,Torts/Individuals,,Torts/Individuals,Housing,Land/Property,0.85,True,True,False,Property damage caused by another person
I_TamilScript,4,யான் ஏரெகோ காஸு கொரி பொக்க ஆல் போயல்,I gave someone money and they disappeared,Consumer/Money/Debt,,Torts/Individuals,Housing,Courts/Legal-System,0.85,False,False,False,Unauthorized entry into a person's home
I_TamilScript,5,என்ன நெரெகரெ என்ன ஜாக தெத்த்தெ,My neighbor took my land,Land/Property,,Torts/Individuals,Housing,Courts/Legal-System,0.85,False,False,False,Someone entered your home without permission and refused to leave
I_TamilScript,6,ஏரோ எனன் படுது பாடி பொக்க என்ன கை பெனெ உண்டு,After someone hit me with a stick my hand hurts,Torts/Individuals,,Land/Property,Torts/Individuals,Housing,0.85,False,True,True,Unauthorized occupation of land or property
I_TamilScript,7,என்ன தனி யான் போடு பண்ட பண்டரெ மாத்ர தால் காரண கொர்திஜ்ஜர்,My boss told me to leave without any reason,Work/Employment,,Land/Property,Torts/Individuals,Housing,0.85,False,False,False,Someone has taken the person's property without permission and refuses to return it.
I_TamilScript,8,யான் காஸு ஸால கொர்தின ஜன வாபஸ் கொர்திஜ்ஜரெ,The person I lent money to is not returning it,Consumer/Money/Debt,,Land/Property,Torts/Individuals,Housing,0.85,False,False,False,Unauthorized occupation of someone else's land
I_TamilScript,9,என்ன ஒப்பிகெ இஜ்ஜாந்தெ ஏரோ என்ன இல்ல்க் பத்தெ,Someone came into my house without my permission,Housing,Land/Property,Torts/Individuals,Housing,Land/Property,0.85,False,True,True,Property damage caused by another person's negligence
I_TamilScript,10,அக்லெக் எங்குலு ஏத் நிர்ணய மல்தின காஸு ஜாஸ்தி போடு,They want more money than what we decided,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Housing,0.85,True,True,False,Dispute over a debt or financial obligation that was not paid by someone else
