condition,id,display_text,english_gloss,list_primary,list_secondary,pred_top1,pred_top2,pred_top3,top1_confidence,hits1,hits3,partial_credit,used_rag,n_passages_survived,top1_reasoning
CRAG_judge_kannada,1,ಎನ್ನ ಯಜಮಾನ ಎನ್ನ ಕಾಸು ವಾಪಸ್ ಕೊರ್ತಿಜ್ಜರೆ,My landlord did not give back my money,Housing,Consumer/Money/Debt,Housing,Consumer/Money/Debt,Estates/Wills,0.90,True,True,False,True,3,"The situation involves a dispute between a tenant and landlord, which is a classic housing-related issue."
CRAG_judge_kannada,2,ಎನ್ನ ಧನಿ ಈ ತಿಂಗೊಲು ಕಾಸು ಕೊರ್ತಿಜ್ಜರೆ,My employer did not pay me this month,Work/Employment,,Consumer/Money/Debt,Courts/Legal-System,Torts/Individuals,0.90,False,False,False,True,3,"The situation involves debt and financial struggles, which are typical issues in this category."
CRAG_judge_kannada,3,ಏರೋ ಎನ್ನ ಬೈಲಿ ತುಂಡು ಮಲ್ತ್‌ದ್ ಎಡ್ಡೆ ಮಲ್ತಿಜ್ಜಿ,Someone broke my fence and did not fix it,Torts/Individuals,,Land/Property,Torts/Individuals,Work/Employment,0.90,False,True,True,True,2,The situation appears to be related to the person's home or property.
CRAG_judge_kannada,4,ಯಾನ್ ಏರೆಗೋ ಕಾಸು ಕೊರಿ ಬೊಕ್ಕ ಆಲ್ ಪೋಯಲ್,I gave someone money and they disappeared,Consumer/Money/Debt,,Land/Property,Housing,Consumer/Money/Debt,0.90,False,True,True,True,2,The situation involves a problem with someone's home or property.
CRAG_judge_kannada,5,ಎನ್ನ ನೆರೆಕರೆ ಎನ್ನ ಜಾಗ ದೆತ್ತ್‌ದೆ,My neighbor took my land,Land/Property,,Land/Property,Courts/Legal-System,Torts/Individuals,0.90,True,True,False,True,3,The situation involves a dispute over property rights and ownership.
CRAG_judge_kannada,6,ಏರೋ ಎನನ್ ಬಡುತು ಪಾಡಿ ಬೊಕ್ಕ ಎನ್ನ ಕೈ ಬೆನೆ ಉಂಡು,After someone hit me with a stick my hand hurts,Torts/Individuals,,Work/Employment,Torts/Individuals,Courts/Legal-System,0.90,False,True,True,True,2,The situation appears to be related to employment or lack thereof.
CRAG_judge_kannada,7,ಎನ್ನ ಧನಿ ಯಾನ್ ಪೋಡು ಪಂಡ ಪಂಡರೆ ಮಾತ್ರ ದಾಲ್ ಕಾರಣ ಕೊರ್ತಿಜ್ಜರ್,My boss told me to leave without any reason,Work/Employment,,Land/Property,Torts/Individuals,Housing,0.90,False,False,False,True,3,"The situation revolves around property rights, inheritance, and family dynamics, making Land/Property the most likely category."
CRAG_judge_kannada,8,ಯಾನ್ ಕಾಸು ಸಾಲ ಕೊರ್ತಿನ ಜನ ವಾಪಸ್ ಕೊರ್ತಿಜ್ಜರೆ,The person I lent money to is not returning it,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,True,3,The situation involves a debt issue where the person borrowed money and is now being asked to repay it with interest.
CRAG_judge_kannada,9,ಎನ್ನ ಒಪ್ಪಿಗೆ ಇಜ್ಜಾಂದೆ ಏರೋ ಎನ್ನ ಇಲ್ಲ್‌ಗ್ ಬತ್ತೆ,Someone came into my house without my permission,Housing,Land/Property,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,False,True,True,True,3,The situation revolves around the person's new home and some issue or dispute related to occupying it.
CRAG_judge_kannada,10,ಅಕ್ಲೆಗ್ ಎಂಕುಲು ಏತ್ ನಿರ್ಣಯ ಮಲ್ತಿನ ಕಾಸು ಜಾಸ್ತಿ ಬೋಡು,They want more money than what we decided,Consumer/Money/Debt,,Land/Property,Torts/Individuals,Housing,0.90,False,False,False,True,3,The situation involves a dispute over property rights and inheritance.
CRAG_judge_kannada,11,ಎಂಕುಲು ಯೆಪ್ಪ ಮುಗಿಡು ಪಂಡ ನಿರ್ಣಯ ಮಲ್ಪೊನೆರ್ದ್ ದುಂಬು ಮುಗಿಯೆರೆ,They ended our agreement before the time we decided,Consumer/Money/Debt,Courts/Legal-System,Courts/Legal-System,Housing,Land/Property,0.90,False,True,True,True,3,"The situation involves a dispute over property rights and ownership, which would likely require legal intervention to resolve."
CRAG_judge_kannada,12,ಯಾನ್ ಕಾಗಜಿದ ಮಿತ್ತ್ ಪುದರ್ ಪಾಡ್ಯೆ ಮಾತ್ರ ದಾದ ಬರೆದಿನ ಪಂಡ ಗೊತ್ತಿಜ್ಜಿ,I signed a paper but did not understand what it said,Courts/Legal-System,Consumer/Money/Debt,IP/Identity,Courts/Legal-System,Work/Employment,0.90,False,True,True,True,3,"The situation appears to be related to accessing or verifying business records, which is a concern about identity and intellectual property."
CRAG_judge_kannada,13,ಯಾನ್ ಕಾಗಜಿದ ಮಿತ್ತ್ ಪುದರ್ ಪಾಡಿ ಬೊಕ್ಕ ಅಕುಲು ದಾದ ನಿರ್ಣಯ ಮಲ್ತೆರೆ ಪಂಡ ಮಲ್ತಿಜೆರೆ,After I signed the paper they did not do what they agreed to,Consumer/Money/Debt,,Estates/Wills,Torts/Individuals,Housing,0.90,False,False,False,True,3,"The issue revolves around changing one's name, which is typically related to identity and legal documentation."
CRAG_judge_kannada,14,ಎಂಕ್ ಓ ವಾ ಕೋರ್ಟ್‌ಗ್ ಪೋಡು ಪಂಡ ಗೊತ್ತಿಜ್ಜಿ,I don't know which court I should go to,Courts/Legal-System,,Courts/Legal-System,Torts/Individuals,IP/Identity,0.90,True,True,False,True,3,"The person needs to resolve a dispute through a legal process, which involves going to court."
CRAG_judge_kannada,15,ಎಂಕ್ ಕಾಸು ಕೊರೊಡುಪಿನ ಜನ ಬೇತೆ ಜಾಗಡ್ ಉಲ್ಲರೆ,The person who owes me money is in a different place,Courts/Legal-System,Consumer/Money/Debt,Consumer/Money/Debt,Housing,Torts/Individuals,0.80,False,True,True,True,3,"The situation involves a person needing to occupy someone else's property for a short period of time, which may have implications for their financial situation or debt obligations."
CRAG_judge_kannada,16,ಎನ್ನ ನೆರೆಕರೆತ ನಾ ಮರ ಎನ್ನ ಇಲ್ಲ್‌ದ ಮಿತ್ತ್ ಬೂರುದು ಹಾಳ್ ಮಲ್ತ್ಂಡ್,My neighbor's tree fell on my house and damaged it,Torts/Individuals,Housing,Torts/Individuals,Housing,Consumer/Money/Debt,0.90,True,True,False,True,3,The situation involves an individual being harmed or wronged by another individual.
