condition,id,display_text,english_gloss,retrieval_query,list_primary,list_secondary,pred_top1,pred_top2,pred_top3,top1_confidence,hits1,hits3,partial_credit,top_retrieval_score,top_retrieved_case,retrieved_doc_names,top1_reasoning
A_WithGloss,1,enna yejamaana enna kas wapas koryiijare,My landlord did not give back my money,My landlord did not give back my money,Housing,Consumer/Money/Debt,Consumer/Money/Debt,Housing,Torts/Individuals,0.90,False,True,True,0.3343,Sridhar P. vs. Ramesh,Sridhar P. | Ravishankara G.K. | Dr. Alfred Aranha,The situation involves a dispute over money owed by the landlord to the individual.
A_WithGloss,2,enna dhani i thingoal kas koryijare,My employer did not pay me this month,My employer did not pay me this month,Work/Employment,,Work/Employment,Consumer/Money/Debt,Torts/Individuals,0.90,True,True,False,0.3182,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Vishwajit Umesh Naik | Shanty Kokoth,The issue revolves around employment and payment.
A_WithGloss,3,yera enna bailee tundu maltd'd eddae maltijji,Someone broke my fence and did not fix it,Someone broke my fence and did not fix it,Torts/Individuals,,Torts/Individuals,Land/Property,Housing,0.90,True,True,False,0.3132,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Dr. Alfred Aranha | Nikitha A.,Physical harm or damage caused by another individual without consent
A_WithGloss,4,yan yera-g kas kori boca al poyal,I gave someone money and they disappeared,I gave someone money and they disappeared,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Work/Employment,0.90,True,True,False,0.3308,Sridhar P. vs. Ramesh,Sridhar P. | Akkamma | Nikitha A.,"The situation involves a financial transaction and a disappearance, which suggests a problem related to consumer transactions or debt."
A_WithGloss,5,enna nerakare enna jagga detae,My neighbor took my land,My neighbor took my land,Land/Property,,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,0.3263,Dr. Alfred Aranha vs. Sahel Peter Aranha,Dr. Alfred Aranha | Neelamegham | State,The situation involves a dispute over ownership of land between two individuals.
A_WithGloss,6,yera enan badutu padi boca enna kai benae undu,After someone hit me with a stick my hand hurts,After someone hit me with a stick my hand hurts,Torts/Individuals,,Torts/Individuals,Housing,Consumer/Money/Debt,0.90,True,True,False,0.3495,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Dr. Alfred Aranha | Nikitha A.,Physical harm caused by another individual's actions
A_WithGloss,7,enna dhani yan podu panda pandare matra dal karana kori-ijjar,My boss told me to leave without any reason,My boss told me to leave without any reason,Work/Employment,,Housing,Housing,Housing,0.00,False,False,False,0.3378,Nikitha A. vs. Santhosh Ghatke,Nikitha A. | Neelamegham | Sadashiva Shetty,[corrected from 'ERROR'] parse error
A_WithGloss,8,yan kas sala kenuna jana wapas koryijare,The person I lent money to is not returning it,The person I lent money to is not returning it,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,0.3419,Sridhar P. vs. Ramesh,Sridhar P. | Sadashiva Shetty | Nikitha A.,"The situation involves lending and borrowing of money, making it a classic consumer finance issue."
A_WithGloss,9,enna oppigay ijjandae yera enna ille-g battae,Someone came into my house without my permission,Someone came into my house without my permission,Housing,Land/Property,Torts/Individuals,Housing,Consumer/Money/Debt,0.90,False,True,True,0.3482,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Neelamegham | Nikitha A.,Unauthorized entry into someone's house
A_WithGloss,10,akleg enkulu yette nirnaya maltina kas jasti bodu,They want more money than what we decided,They want more money than what we decided,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,0.3484,Nikitha A. vs. Santhosh Ghatke,Nikitha A. | Neelamegham | Sadashiva Shetty,"The situation involves a dispute over money, which is the core aspect of this category."
A_WithGloss,11,enkulu yeppa mugiodu panda nirnaya malponaid dumbu mugiyere,They ended our agreement before the time we decided,They ended our agreement before the time we decided,Consumer/Money/Debt,Courts/Legal-System,Work/Employment,Courts/Legal-System,Torts/Individuals,0.90,False,True,True,0.3679,Dr. Alfred Aranha vs. Sahel Peter Aranha,Dr. Alfred Aranha | Neelamegham | Nikitha A.,"The situation involves an agreement being ended prematurely, which is a common issue in employment contexts."
A_WithGloss,12,yan kakaji-da mittae pudar padyae matra dadae baryina panda gothiji,I signed a paper but did not understand what it said,I signed a paper but did not understand what it said,Courts/Legal-System,Consumer/Money/Debt,Estates/Wills,Courts/Legal-System,Torts/Individuals,0.80,False,True,True,0.3579,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Nikitha A. | Vishwajit Umesh Naik,"The person's concern is about signing a paper without understanding what it says, which could be related to an estate or will."
A_WithGloss,13,yan kakaji-da mitte pudar padi boca akulu dadae nirnaya maltere panda maltijere,After I signed the paper they did not do what they agreed to,After I signed the paper they did not do what they agreed to,Consumer/Money/Debt,,Torts/Individuals,Courts/Legal-System,Work/Employment,0.90,False,False,False,0.3392,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Nikitha A. | Vishwajit Umesh Naik,"The situation involves a breach of agreement between two individuals, which falls under tort law."
A_WithGloss,14,enk wo court-g podu panda gothiji,I don't know which court I should go to,I don't know which court I should go to,Courts/Legal-System,,Courts/Legal-System,Torts/Individuals,Work/Employment,0.90,True,True,False,0.4444,Dr. Alfred Aranha vs. Sahel Peter Aranha,Dr. Alfred Aranha | State | Neelamegham,"The person is unsure which court to go to, indicating confusion about the legal system and the process of seeking justice."
A_WithGloss,15,enk kas korodu-na jana betae jagga ullare,The person who owes me money is in a different place,The person who owes me money is in a different place,Courts/Legal-System,Consumer/Money/Debt,Consumer/Money/Debt,Courts/Legal-System,Torts/Individuals,0.90,False,True,True,0.3096,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Neelamegham | Sridhar P.,The core issue is about someone owing money to the person.
A_WithGloss,16,enna neerekare-na mara enna ille-da mitte burud'd hal maltinde,My neighbor's tree fell on my house and damaged it,My neighbor's tree fell on my house and damaged it,Torts/Individuals,Housing,Housing,Torts/Individuals,Land/Property,0.90,False,True,True,0.2940,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Nikitha A. | R.K. Usha Devi,The situation involves physical damage to the person's home.
A_WithGloss,17,yera enna jagga-da mittae kenijja culud'd popujae,Someone is living on my land without asking and won't leave,Someone is living on my land without asking and won't leave,Land/Property,Housing,Land/Property,Housing,Torts/Individuals,0.90,True,True,False,0.3565,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Neelamegham | Nikitha A.,The situation involves a dispute over land ownership and occupation.
A_WithGloss,18,betae jana aklena samanda mitte enna pudar pad'd maruwae,Someone is selling their things using my name,Someone is selling their things using my name,IP/Identity,,IP/Identity,Torts/Individuals,Consumer/Money/Debt,0.90,True,True,False,0.3594,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Neelamegham | Nikitha A.,"The situation involves someone else using the person's name to sell things, which is a clear violation of their identity and intellectual property rights."
A_WithGloss,19,enna parat dhoni enan posa belae soor malpere ontaiyare,My old employer is stopping me from starting my own work,My old employer is stopping me from starting my own work,Work/Employment,,Work/Employment,Consumer/Money/Debt,Housing,0.90,True,True,False,0.3648,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Nikitha A. | Neelamegham,The situation involves an old employer preventing the person from starting their own work.
A_WithGloss,20,enna kotumba enna popae tir poyi boca enk korpina da jagga detere,After my father passed away my family took the land that was meant to be given to me,After my father passed away my family took the land that was meant to be given to me,Estates/Wills,Land/Property,Land/Property,Torts/Individuals,Housing,0.90,False,True,True,0.3837,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Vishwajit Umesh Naik | Nikitha A.,The situation involves a dispute over ownership of land and its distribution among family members.
B_TuluOnly,1,enna yejamaana enna kas wapas koryiijare,My landlord did not give back my money,enna yejamaana enna kas wapas koryiijare,Housing,Consumer/Money/Debt,Courts/Legal-System,Housing,Torts/Individuals,0.90,False,True,True,0.2963,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Neelamegham | Akkamma,"The situation involves understanding a legal issue, which is the primary focus of this category."
B_TuluOnly,2,enna dhani i thingoal kas koryijare,My employer did not pay me this month,enna dhani i thingoal kas koryijare,Work/Employment,,Torts/Individuals,Housing,Consumer/Money/Debt,0.80,False,False,False,0.2624,Nikitha A. vs. Santhosh Ghatke,Nikitha A. | Dr. Alfred Aranha | Nikitha A.,The situation involves a personal dispute between family members over property and financial matters.
B_TuluOnly,3,yera enna bailee tundu maltd'd eddae maltijji,Someone broke my fence and did not fix it,yera enna bailee tundu maltd'd eddae maltijji,Torts/Individuals,,Housing,Housing,Housing,0.00,False,False,False,0.3215,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Nikitha A. | Neelamegham,[corrected from 'ERROR'] parse error
B_TuluOnly,4,yan yera-g kas kori boca al poyal,I gave someone money and they disappeared,yan yera-g kas kori boca al poyal,Consumer/Money/Debt,,Land/Property,Torts/Individuals,Housing,0.90,False,False,False,0.3625,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Dr. Alfred Aranha | Nikitha A.,The situation involves someone taking the person's land without permission.
B_TuluOnly,5,enna nerakare enna jagga detae,My neighbor took my land,enna nerakare enna jagga detae,Land/Property,,Courts/Legal-System,Housing,Torts/Individuals,0.60,False,False,False,0.2965,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Nikitha A. | Neelamegham,"The situation involves trying to understand something unclear, which could be related to a legal document or ruling."
B_TuluOnly,6,yera enan badutu padi boca enna kai benae undu,After someone hit me with a stick my hand hurts,yera enan badutu padi boca enna kai benae undu,Torts/Individuals,,IP/Identity,Torts/Individuals,Courts/Legal-System,0.90,False,True,True,0.3470,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Sadashiva Shetty | Nikitha A.,The situation appears to be related to personal identity or information.
B_TuluOnly,7,enna dhani yan podu panda pandare matra dal karana kori-ijjar,My boss told me to leave without any reason,enna dhani yan podu panda pandare matra dal karana kori-ijjar,Work/Employment,,Land/Property,Torts/Individuals,Housing,0.90,False,False,False,0.3018,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Daneshwari | Premalatha,The situation involves someone taking the person's land without permission.
B_TuluOnly,8,yan kas sala kenuna jana wapas koryijare,The person I lent money to is not returning it,yan kas sala kenuna jana wapas koryijare,Consumer/Money/Debt,,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,False,False,False,0.3267,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Akkamma | Nikitha A.,The situation involves someone taking the person's land without permission and refusing to leave.
B_TuluOnly,9,enna oppigay ijjandae yera enna ille-g battae,Someone came into my house without my permission,enna oppigay ijjandae yera enna ille-g battae,Housing,Land/Property,Land/Property,Torts/Individuals,Housing,0.90,False,True,True,0.2990,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Neelamegham | Akkamma,The situation involves someone taking the person's land without permission and refusing to leave.
B_TuluOnly,10,akleg enkulu yette nirnaya maltina kas jasti bodu,They want more money than what we decided,akleg enkulu yette nirnaya maltina kas jasti bodu,Consumer/Money/Debt,,Torts/Individuals,Land/Property,Courts/Legal-System,0.80,False,False,False,0.2915,Sadashiva Shetty vs. Vijaya Bank,Sadashiva Shetty | Neelamegham | Akkamma,The situation involves an unknown problem that may involve harm or damage caused by another person.
B_TuluOnly,11,enkulu yeppa mugiodu panda nirnaya malponaid dumbu mugiyere,They ended our agreement before the time we decided,enkulu yeppa mugiodu panda nirnaya malponaid dumbu mugiyere,Consumer/Money/Debt,Courts/Legal-System,Torts/Individuals,Courts/Legal-System,IP/Identity,0.80,False,True,True,0.3462,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Sadashiva Shetty | Nikitha A.,"The situation involves a person trying to make sense of someone else's writing, which seems nonsensical or confusing."
B_TuluOnly,12,yan kakaji-da mittae pudar padyae matra dadae baryina panda gothiji,I signed a paper but did not understand what it said,yan kakaji-da mittae pudar padyae matra dadae baryina panda gothiji,Courts/Legal-System,Consumer/Money/Debt,Land/Property,Torts/Individuals,Courts/Legal-System,0.80,False,True,True,0.3372,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Daneshwari | Ravishankara G.K.,The text mentions land or property disputes.
