model,condition,id,display_text,english_gloss,list_primary,list_secondary,pred_top1,pred_top2,pred_top3,top1_confidence,hits1,hits3,partial_credit,top1_reasoning
sarvam,A,41,My neighbor's dog bit my child while we were walking,My neighbor's dog bit my child while we were walking,Torts/Individuals,,Torts/Individuals,Land/Property,Courts/Legal-System,0.95,True,True,False,"This is a personal injury case caused by another person's (or their animal's) negligence or action, which falls under the Torts/Individuals category."
sarvam,A,42,Someone crashed into my parked vehicle and drove away,Someone crashed into my parked vehicle and drove away,Torts/Individuals,,Torts/Individuals,Courts/Legal-System,Consumer/Money/Debt,0.90,True,True,False,"Property damage caused by another person's action, which is a classic tort scenario."
sarvam,A,43,A worker dropped something that injured me,A worker dropped something that injured me,Torts/Individuals,,Torts/Individuals,Work/Employment,Courts/Legal-System,0.90,True,True,False,"Personal injury caused by another person's action, which is the core of tort law."
sarvam,A,44,Someone spread lies about me that damaged my reputation in the village,Someone spread lies about me that damaged my reputation in the village,Torts/Individuals,,Torts/Individuals,IP/Identity,Courts/Legal-System,0.90,True,True,False,ಸುಳ್ಳು ಹೇಳಿಕೆಗಳು ಮತ್ತು ವದಂತಿಗಳು ವ್ಯಕ್ತಿಯ ಗೌರವಕ್ಕೆ ಧಕ್ಕೆ ತಂದಿವೆ. ಇದು ಇತರರ ಕ್ರಮಗಳಿಂದ ಉಂಟಾದ ವೈಯಕ್ತಿಕ ಗಾಯ ಅಥವಾ ಹಾನಿಯ ವರ್ಗಕ್ಕೆ ಸೇರುತ್ತದೆ.
sarvam,A,45,My neighbor's cattle keep destroying my crops,My neighbor's cattle keep destroying my crops,Torts/Individuals,Land/Property,Land/Property,Torts/Individuals,Housing,0.90,False,True,True,"The situation involves damage to the person's land (their crops) caused by another person's (the neighbor's) animals. This is a direct dispute over property and its use/damage, which falls under Land/Property."
sarvam,A,46,I received a court notice but I don't understand what it is asking me to do,I received a court notice but I don't understand what it is asking me to do,Courts/Legal-System,,Courts/Legal-System,Torts/Individuals,Housing,0.95,True,True,False,"ವ್ಯಕ್ತಿಯು ನ್ಯಾಯಾಲಯದ ನೋಟಿಸ್ ಪಡೆದಿದ್ದಾನೆ ಆದರೆ ಅದರ ವಿಷಯ ಅಥವಾ ಅವಶ್ಯಕತೆಗಳನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳುತ್ತಿಲ್ಲ. ಇದು ಕಾನೂನು ನೋಟಿಸ್‌ಗಳು, ನ್ಯಾಯಾಲಯದ ಕಾರ್ಯವಿಧಾನಗಳು ಮತ್ತು ಕಾನೂನು ದಾಖಲೆಗಳ ಅರ್ಥವನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವ ಬಗ್ಗೆ ಇರುವ ಗೊಂದಲವನ್ನು ನೇರವಾಗಿ ಸೂಚಿಸುತ್ತದೆ. ಇದು 'ನ್ಯಾಯಾಲಯ/ಕಾನೂನು-ವ್ಯವಸ್ಥೆ' ವರ್ಗದ ಪ್ರಮುಖ ಲಕ್ಷಣವಾಗಿದೆ."
sarvam,A,47,I missed a court date because no one explained when I needed to appear,I missed a court date because no one explained when I needed to appear,Courts/Legal-System,,Courts/Legal-System,Housing,Consumer/Money/Debt,0.90,True,True,False,"The situation describes a procedural failure in the legal system where the person missed a court date due to a lack of information about the required appearance time. This directly aligns with the category's definition of confusion about legal processes, such as not knowing when to appear or where to file."
sarvam,A,48,I don't know how to file a complaint against my employer,I don't know how to file a complaint against my employer,Courts/Legal-System,Work/Employment,Courts/Legal-System,Work/Employment,Torts/Individuals,0.90,True,True,False,"The person's problem is procedural confusion about the legal process of filing a complaint, which is a core issue within the Courts/Legal-System category. The examples provided in the category, like 'I don't know which court I should go to' and 'not knowing where to file a complaint,' are a direct match for this situation."
sarvam,A,49,The police would not register my complaint,The police would not register my complaint,Courts/Legal-System,,Courts/Legal-System,Torts/Individuals,Work/Employment,0.90,True,True,False,"The problem involves a failure by a state authority (the police) to register a formal complaint, which is a direct obstacle to accessing the legal system. This is a procedural issue related to the legal process itself."
sarvam,A,50,I was told I need a lawyer but I don't know how to find one,I was told I need a lawyer but I don't know how to find one,Courts/Legal-System,,Courts/Legal-System,Work/Employment,Torts/Individuals,0.90,True,True,False,"The person's situation is about the process of finding a lawyer, which is a procedural issue related to navigating the legal system. This falls under the umbrella of confusion about legal processes, not a specific dispute."
sarvam,A,51,Someone opened a loan in my name without my knowledge,Someone opened a loan in my name without my knowledge,IP/Identity,Consumer/Money/Debt,IP/Identity,Consumer/Money/Debt,Torts/Individuals,0.90,True,True,False,"The situation describes identity theft, where someone used the person's name and identity to open a loan without permission. This is a direct misuse of personal identity for financial gain, which is the core of the IP/Identity category."
sarvam,A,52,My photo is being used in an advertisement without my permission,My photo is being used in an advertisement without my permission,IP/Identity,,IP/Identity,Torts/Individuals,Consumer/Money/Debt,0.90,True,True,False,"ಈ ಪರಿಸ್ಥಿತಿಯು ಒಬ್ಬ ವ್ಯಕ್ತಿಯ ಫೋಟೋವನ್ನು ಅವರ ಅನುಮತಿಯಿಲ್ಲದೆ ಜಾಹೀರಾತಿನಲ್ಲಿ ಬಳಸುವುದನ್ನು ಒಳಗೊಂಡಿದೆ, ಇದು ಅವರ ವೈಯಕ್ತಿಕ ಗುರುತಿನ ದುರುಪಯೋಗವಾಗಿದೆ."
sarvam,A,53,Someone is pretending to be me online to trick my relatives,Someone is pretending to be me online to trick my relatives,IP/Identity,,IP/Identity,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,"The situation involves someone using another person's identity online to trick relatives, which is a clear case of identity misuse."
sarvam,A,54,A shop is using my family's business name without asking,A shop is using my family's business name without asking,IP/Identity,,IP/Identity,Torts/Individuals,Consumer/Money/Debt,0.95,True,True,False,ಈ ಪರಿಸ್ಥಿತಿಯು ಒಬ್ಬ ವ್ಯಕ್ತಿಯ ಕುಟುಂಬದ ವ್ಯವಹಾರದ ಹೆಸರನ್ನು ಅನುಮತಿಯಿಲ್ಲದೆ ಬಳಸುತ್ತಿರುವುದನ್ನು ಒಳಗೊಂಡಿದೆ. ಇದು IP/Identity ವರ್ಗದ ಅಡಿಯಲ್ಲಿ ಬರುವ ಬ್ರ್ಯಾಂಡ್ ಅಥವಾ ವ್ಯವಹಾರದ ಗುರುತಿನ ದುರುಪಯೋಗವಾಗಿದೆ.
