model,condition,id,display_text,english_gloss,list_primary,list_secondary,pred_top1,pred_top2,pred_top3,top1_confidence,hits1,hits3,partial_credit,top1_reasoning
hex1,A,41,My neighbor's dog bit my child while we were walking,My neighbor's dog bit my child while we were walking,Torts/Individuals,,Torts/Individuals,Courts/Legal-System,Land/Property,0.95,True,True,False,This involves physical harm caused by another party's negligence.
hex1,A,42,Someone crashed into my parked vehicle and drove away,Someone crashed into my parked vehicle and drove away,Torts/Individuals,,Torts/Individuals,Land/Property,Courts/Legal-System,0.95,True,True,False,The situation involves harm caused by another person's negligence (the crashing into their parked vehicle).
hex1,A,43,A worker dropped something that injured me,A worker dropped something that injured me,Torts/Individuals,,Torts/Individuals,Work/Employment,IP/Identity,0.90,True,True,False,This situation involves physical harm caused by another individual's negligence.
hex1,A,44,Someone spread lies about me that damaged my reputation in the village,Someone spread lies about me that damaged my reputation in the village,Torts/Individuals,,Torts/Individuals,Courts/Legal-System,IP/Identity,0.90,True,True,False,This involves harm caused to an individual's reputation by another person's actions.
hex1,A,45,My neighbor's cattle keep destroying my crops,My neighbor's cattle keep destroying my crops,Torts/Individuals,Land/Property,Land/Property,Torts/Individuals,Estates/Wills,0.90,False,True,True,This situation involves property damage caused by another party's actions.
hex1,A,46,I received a court notice but I don't understand what it is asking me to do,I received a court notice but I don't understand what it is asking me to do,Courts/Legal-System,,Courts/Legal-System,Consumer/Money/Debt,IP/Identity,0.90,True,True,False,The situation involves receiving a court notice and not understanding its requirements.
hex1,A,47,I missed a court date because no one explained when I needed to appear,I missed a court date because no one explained when I needed to appear,Courts/Legal-System,,Courts/Legal-System,Work/Employment,Torts/Individuals,0.95,True,True,False,The situation involves missing a court date due to lack of information about when one is supposed to appear.
hex1,A,48,I don't know how to file a complaint against my employer,I don't know how to file a complaint against my employer,Courts/Legal-System,Work/Employment,Courts/Legal-System,Work/Employment,Consumer/Money/Debt,0.90,True,True,False,"The situation involves not knowing how to file a complaint against an employer, which is related to understanding and navigating the legal system."
hex1,A,49,The police would not register my complaint,The police would not register my complaint,Courts/Legal-System,,Courts/Legal-System,Torts/Individuals,Consumer/Money/Debt,0.90,True,True,False,"The issue involves a problem with the police not registering a complaint, which falls under legal system issues."
hex1,A,50,I was told I need a lawyer but I don't know how to find one,I was told I need a lawyer but I don't know how to find one,Courts/Legal-System,,Courts/Legal-System,Consumer/Money/Debt,Work/Employment,0.90,True,True,False,"The person needs a lawyer and does not know how to find one, which is related to the court system or legal process."
hex1,A,51,Someone opened a loan in my name without my knowledge,Someone opened a loan in my name without my knowledge,IP/Identity,Consumer/Money/Debt,IP/Identity,Consumer/Money/Debt,Torts/Individuals,0.90,True,True,False,This situation involves someone using another person's identity without permission to open a loan.
hex1,A,52,My photo is being used in an advertisement without my permission,My photo is being used in an advertisement without my permission,IP/Identity,,IP/Identity,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,The situation involves the unauthorized use of personal identity without permission.
hex1,A,53,Someone is pretending to be me online to trick my relatives,Someone is pretending to be me online to trick my relatives,IP/Identity,,IP/Identity,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,This situation involves someone using another person's identity without permission to deceive their family members.
hex1,A,54,A shop is using my family's business name without asking,A shop is using my family's business name without asking,IP/Identity,,IP/Identity,Courts/Legal-System,Estates/Wills,0.90,True,True,False,The situation involves someone else using the family's business name without permission.
hex1,A,55,Someone stole the design of the products my family makes and sells,Someone stole the design of the products my family makes and sells,IP/Identity,,IP/Identity,Courts/Legal-System,Land/Property,0.95,True,True,False,The issue involves someone else using the designs made by the family without permission.
hex1,A,56,My father died without a will and my siblings are dividing everything without me,My father died without a will and my siblings are dividing everything without me,Estates/Wills,,Estates/Wills,Land/Property,Courts/Legal-System,0.90,True,True,False,This situation involves inheritance disputes after someone's death.
hex1,A,57,My mother's jewelry was promised to me but my brother took it after she died,My mother's jewelry was promised to me but my brother took it after she died,Estates/Wills,,Estates/Wills,Land/Property,Courts/Legal-System,0.90,True,True,False,This involves an issue related to property or assets being passed down after someone's death.
hex1,A,58,I found out my parents' house was sold after my father's death without our agreement,I found out my parents' house was sold after my father's death without our agreement,Estates/Wills,Land/Property,Land/Property,Courts/Legal-System,Estates/Wills,0.90,False,True,True,This situation involves an issue with real estate and property rights.
hex1,A,59,My uncle is refusing to share the property left by my grandfather,My uncle is refusing to share the property left by my grandfather,Estates/Wills,Land/Property,Estates/Wills,Land/Property,Courts/Legal-System,0.90,True,True,False,The situation involves disputes over property after someone's death.
hex1,A,60,After my husband passed away his family is not letting me stay in our house,After my husband passed away his family is not letting me stay in our house,Estates/Wills,Housing,Estates/Wills,Land/Property,Courts/Legal-System,0.90,True,True,False,This situation involves inheritance and property rights following a family member's death.
hex1,B,41,enkulu nadetonduittinapaga enna baritaklena nayi enna balen cuccind.,My neighbor's dog bit my child while we were walking,Torts/Individuals,,Consumer/Money/Debt,Courts/Legal-System,Land/Property,0.95,False,False,False,The issue involves payment for a utility service (electricity) that was not provided or received.
hex1,B,42,ero enklena untondu ittina karg akd poyer.,Someone crashed into my parked vehicle and drove away,Torts/Individuals,,Consumer/Money/Debt,Courts/Legal-System,Land/Property,0.90,False,False,False,This involves overcharging beyond what was agreed and contract breaches involving payment.
hex1,B,43,onji beledaye enna mitt saman budpad enk tagnd.,A worker dropped something that injured me,Torts/Individuals,,Consumer/Money/Debt,Courts/Legal-System,Estates/Wills,0.90,False,False,False,The situation involves overcharging beyond what was agreed upon for a purchase or service.
hex1,B,44,hallid yera enna bagge sullu pandd enna pudarn hal malter.,Someone spread lies about me that damaged my reputation in the village,Torts/Individuals,,Consumer/Money/Debt,Courts/Legal-System,Estates/Wills,0.90,False,False,False,The situation involves an issue with payment or money owed from an agreement.
hex1,B,45,enna nerekareda aklena pettalu enna pura bulen tindd hal maltnd.,My neighbor's cattle keep destroying my crops,Torts/Individuals,Land/Property,Consumer/Money/Debt,Land/Property,Courts/Legal-System,0.90,False,True,True,"The situation involves overcharging beyond what was agreed upon, which falls under consumer and money-related issues."
hex1,B,46,"enk nyayalayada onji kakaji baidnd, matra ait dada panonduller pandd gottiji.",I received a court notice but I don't understand what it is asking me to do,Courts/Legal-System,,Consumer/Money/Debt,Land/Property,Courts/Legal-System,0.90,False,True,True,"The person is being asked to pay for something that was not agreed upon, likely due to overcharging."
hex1,B,47,"enk nyayalayag popina tarikh tatnd, dayeg panda enk erela epa e podu pandd pandijer.",I missed a court date because no one explained when I needed to appear,Courts/Legal-System,,Consumer/Money/Debt,Courts/Legal-System,Estates/Wills,0.90,False,True,True,The situation involves an issue with payment or money owed from an agreement.
hex1,B,48,enk enna kelsada dhanina mitt enca duru korodu pandd gottiji.,I don't know how to file a complaint against my employer,Courts/Legal-System,Work/Employment,Consumer/Money/Debt,Courts/Legal-System,Estates/Wills,0.90,False,True,True,"The person is facing a problem where they are being charged more than what was agreed upon, likely in a consumer transaction."
hex1,B,49,polis-da akulu enna durun dettonere tayar ijjer.,The police would not register my complaint,Courts/Legal-System,,Housing,Courts/Legal-System,Torts/Individuals,0.90,False,True,True,The situation involves unauthorized entry into a home or dwelling.
