model,condition,id,display_text,english_gloss,list_primary,list_secondary,pred_top1,pred_top2,pred_top3,top1_confidence,hits1,hits3,partial_credit,top1_reasoning
llama3,M_full,41,enkulu nadetonduittinapaga enna baritaklena nayi enna balen cuccind.,My neighbor's dog bit my child while we were walking,Torts/Individuals,,Torts/Individuals,Housing,Consumer/Money/Debt,0.90,True,True,False,Physical harm/damage caused by another person without permission
llama3,M_full,42,ero enklena untondu ittina karg akd poyer.,Someone crashed into my parked vehicle and drove away,Torts/Individuals,,Torts/Individuals,Housing,Land/Property,0.90,True,True,False,Someone entered the person's house without permission
llama3,M_full,43,onji beledaye enna mitt saman budpad enk tagnd.,A worker dropped something that injured me,Torts/Individuals,,Torts/Individuals,Housing,Land/Property,0.90,True,True,False,Unauthorized entry into someone's house without permission
llama3,M_full,44,hallid yera enna bagge sullu pandd enna pudarn hal malter.,Someone spread lies about me that damaged my reputation in the village,Torts/Individuals,,IP/Identity,Torts/Individuals,Housing,0.90,False,True,True,Misuse of personal identity
llama3,M_full,45,enna nerekareda aklena pettalu enna pura bulen tindd hal maltnd.,My neighbor's cattle keep destroying my crops,Torts/Individuals,Land/Property,Torts/Individuals,Housing,Land/Property,0.85,True,True,False,Property damage caused by another person's action
llama3,M_full,46,"enk nyayalayada onji kakaji baidnd, matra ait dada panonduller pandd gottiji.",I received a court notice but I don't understand what it is asking me to do,Courts/Legal-System,,IP/Identity,Torts/Individuals,Housing,0.90,False,False,False,The situation involves someone using another person's name without permission.
llama3,M_full,47,"enk nyayalayag popina tarikh tatnd, dayeg panda enk erela epa e podu pandd pandijer.",I missed a court date because no one explained when I needed to appear,Courts/Legal-System,,Torts/Individuals,Housing,Land/Property,0.90,False,False,False,"Someone entered the person's house without permission, causing distress."
llama3,M_full,48,enk enna kelsada dhanina mitt enca duru korodu pandd gottiji.,I don't know how to file a complaint against my employer,Courts/Legal-System,Work/Employment,Land/Property,Torts/Individuals,Housing,0.85,False,False,False,"Someone took something that belongs to the person, likely a property or land issue"
llama3,M_full,49,polis-da akulu enna durun dettonere tayar ijjer.,The police would not register my complaint,Courts/Legal-System,,Torts/Individuals,Housing,Land/Property,0.90,False,False,False,Someone entered the person's house without permission
llama3,M_full,50,"enk onji vakil bodu pandd pander, matra enk vakiln enca nadodu pandd gottiji.",I was told I need a lawyer but I don't know how to find one,Courts/Legal-System,,Torts/Individuals,Housing,Consumer/Money/Debt,0.80,False,False,False,"The person is seeking a lawyer to take an action against someone else, suggesting a personal injury or property damage dispute."
llama3,M_full,51,enk gottijande yera enna pudard sala dettonyer.,Someone opened a loan in my name without my knowledge,IP/Identity,Consumer/Money/Debt,IP/Identity,Torts/Individuals,Consumer/Money/Debt,0.90,True,True,False,Misuse of personal name for a loan or debt
llama3,M_full,52,enada kenande yera enna photon jahiratud upayoga maltonduller.,My photo is being used in an advertisement without my permission,IP/Identity,,Torts/Individuals,Housing,Land/Property,0.90,False,False,False,Someone entered the person's house without permission
llama3,M_full,53,yera ennaleka anlain-d natane maltd enna kutunbadaklen dongi maltonduller.,Someone is pretending to be me online to trick my relatives,IP/Identity,,Torts/Individuals,Housing,Consumer/Money/Debt,0.90,False,False,False,Someone entered the person's house without permission and caused damage
llama3,M_full,54,vova onji angadi enna kutunbada angadida pudaran upayoga maltondundu,A shop is using my family's business name without asking,IP/Identity,,Torts/Individuals,Housing,Land/Property,0.90,False,False,False,Unauthorized entry into a house without permission
llama3,M_full,55,enklena kutunba maltd maruna samanda disain-n yera kandder.,Someone stole the design of the products my family makes and sells,IP/Identity,,Torts/Individuals,Housing,Land/Property,0.90,False,False,False,Someone entered the person's house without permission and caused damage
