condition,id,display_text,english_gloss,retrieval_query,list_primary,list_secondary,pred_top1,pred_top2,pred_top3,top1_confidence,hits1,hits3,partial_credit,top_retrieval_score,top_retrieved_case,retrieved_doc_names,top1_reasoning
A_WithGloss,1,enna yejamaana enna kas wapas koryiijare,My landlord did not give back my money,My landlord did not give back my money,Housing,Consumer/Money/Debt,Consumer/Money/Debt,Housing,Torts/Individuals,0.85,False,True,True,0.3121,R.K. Usha Devi vs. Akash V. Patil,R.K. Usha Devi | Dr. Alfred Aranha | Neelamegham,The primary concern is the landlord's failure to return the deposit.
A_WithGloss,2,enna dhani i thingoal kas koryijare,My employer did not pay me this month,My employer did not pay me this month,Work/Employment,,Work/Employment,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,0.2096,R.K. Usha Devi vs. Akash V. Patil,R.K. Usha Devi | Dr. Alfred Aranha | Daneshwari,The situation revolves around employment and the failure of the employer to fulfill their obligation.
A_WithGloss,3,yera enna bailee tundu maltd'd eddae maltijji,Someone broke my fence and did not fix it,Someone broke my fence and did not fix it,Torts/Individuals,,Torts/Individuals,Land/Property,Housing,0.90,True,True,False,0.2273,R.K. Usha Devi vs. Akash V. Patil,R.K. Usha Devi | Dr. Alfred Aranha | Akkamma,The situation involves someone else causing harm to the person's property.
A_WithGloss,4,yan yera-g kas kori boca al poyal,I gave someone money and they disappeared,I gave someone money and they disappeared,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Housing,0.90,True,True,False,0.2735,R.K. Usha Devi vs. Akash V. Patil,R.K. Usha Devi | Dr. Alfred Aranha | Neelamegham,"The person gave someone money and they disappeared, leaving them with an unpaid debt."
A_WithGloss,5,enna nerakare enna jagga detae,My neighbor took my land,My neighbor took my land,Land/Property,,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,0.1567,Premalatha vs. Rathan Kumar B.V.,Premalatha | R.K. Usha Devi | State,The situation involves a dispute over ownership and possession of a piece of land.
A_WithGloss,6,yera enan badutu padi boca enna kai benae undu,After someone hit me with a stick my hand hurts,After someone hit me with a stick my hand hurts,Torts/Individuals,,Torts/Individuals,Estates/Wills,Land/Property,0.90,True,True,False,0.2107,State vs. M. Shanthilal Manikylal,State | Dr. Alfred Aranha | R.K. Usha Devi,"The situation involves physical harm caused to an individual, which falls under the category of torts."
A_WithGloss,7,enna dhani yan podu panda pandare matra dal karana kori-ijjar,My boss told me to leave without any reason,My boss told me to leave without any reason,Work/Employment,,Work/Employment,Courts/Legal-System,Torts/Individuals,0.90,True,True,False,0.1563,Shanty Kokoth vs. Shankar Ganesh P.J.,Shanty Kokoth | Neelamegham | Daneshwari,The situation involves a boss-employee relationship and the employee being asked to leave without reason.
A_WithGloss,8,yan kas sala kenuna jana wapas koryijare,The person I lent money to is not returning it,The person I lent money to is not returning it,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Housing,0.90,True,True,False,0.3113,R.K. Usha Devi vs. Akash V. Patil,R.K. Usha Devi | Dr. Alfred Aranha | Neelamegham,The person's primary concern is that someone owes them money and is not returning it.
A_WithGloss,9,enna oppigay ijjandae yera enna ille-g battae,Someone came into my house without my permission,Someone came into my house without my permission,Housing,Land/Property,Torts/Individuals,Housing,Consumer/Money/Debt,0.95,False,True,True,0.2528,Amith Ramachandra vs. Shantha,Amith Ramachandra | Neelamegham | Ravishankara G.K.,Unauthorized intrusion into private space
A_WithGloss,10,akleg enkulu yette nirnaya maltina kas jasti bodu,They want more money than what we decided,They want more money than what we decided,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.80,True,True,False,0.2316,Sridhar P. vs. Ramesh,Sridhar P. | Manju K | Vishwajit Umesh Naik,The situation involves a dispute over the amount of money involved.
A_WithGloss,11,enkulu yeppa mugiodu panda nirnaya malponaid dumbu mugiyere,They ended our agreement before the time we decided,They ended our agreement before the time we decided,Consumer/Money/Debt,Courts/Legal-System,Consumer/Money/Debt,Courts/Legal-System,Housing,0.85,True,True,False,0.1557,R.K. Usha Devi vs. Akash V. Patil,R.K. Usha Devi | Dr. Alfred Aranha | Neelamegham,Contractual dispute or breach
A_WithGloss,12,yan kakaji-da mittae pudar padyae matra dadae baryina panda gothiji,I signed a paper but did not understand what it said,I signed a paper but did not understand what it said,Courts/Legal-System,Consumer/Money/Debt,Torts/Individuals,Consumer/Money/Debt,Courts/Legal-System,0.90,False,True,True,0.2096,Sridhar P. vs. Ramesh,Sridhar P. | State | Nikitha A.,"The situation involves an individual signing a document without understanding its implications, which could potentially lead to legal consequences or disputes."
A_WithGloss,13,yan kakaji-da mitte pudar padi boca akulu dadae nirnaya maltere panda maltijere,After I signed the paper they did not do what they agreed to,After I signed the paper they did not do what they agreed to,Consumer/Money/Debt,,Torts/Individuals,Courts/Legal-System,Work/Employment,0.90,False,False,False,0.2110,R.K. Usha Devi vs. Akash V. Patil,R.K. Usha Devi | State | Vishwajit Umesh Naik,The situation involves a breach of agreement or commitment between two individuals.
A_WithGloss,14,enk wo court-g podu panda gothiji,I don't know which court I should go to,I don't know which court I should go to,Courts/Legal-System,,Courts/Legal-System,Housing,Consumer/Money/Debt,0.95,True,True,False,0.2342,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Ravishankara G.K. | Dr. Alfred Aranha,The person is seeking guidance on which court to go to.
A_WithGloss,15,enk kas korodu-na jana betae jagga ullare,The person who owes me money is in a different place,The person who owes me money is in a different place,Courts/Legal-System,Consumer/Money/Debt,Consumer/Money/Debt,Courts/Legal-System,Housing,0.90,False,True,True,0.2151,R.K. Usha Devi vs. Akash V. Patil,R.K. Usha Devi | Dr. Alfred Aranha | Neelamegham,The primary issue is about someone owing money to the person.
A_WithGloss,16,enna neerekare-na mara enna ille-da mitte burud'd hal maltinde,My neighbor's tree fell on my house and damaged it,My neighbor's tree fell on my house and damaged it,Torts/Individuals,Housing,Torts/Individuals,Housing,Land/Property,0.90,True,True,False,0.1690,Ravishankara G.K. vs. Rekha,Ravishankara G.K. | State | Nikitha A.,"The situation involves an individual causing harm to another individual, which falls under the category of torts."
