condition,id,display_text,english_gloss,retrieval_query,list_primary,list_secondary,pred_top1,pred_top2,pred_top3,top1_confidence,hits1,hits3,partial_credit,top_retrieval_score,top_retrieved_case,retrieved_doc_names,top1_reasoning
A_WithGloss,1,enna yejamaana enna kas wapas koryiijare,My landlord did not give back my money,My landlord did not give back my money,Housing,Consumer/Money/Debt,Consumer/Money/Debt,Housing,Torts/Individuals,0.90,False,True,True,0.6850,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Ravishankara G.K. | Nikitha A.,The situation involves a dispute over payment and the return of funds.
A_WithGloss,2,enna dhani i thingoal kas koryijare,My employer did not pay me this month,My employer did not pay me this month,Work/Employment,,Work/Employment,Consumer/Money/Debt,Housing,0.90,True,True,False,0.6128,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Ravishankara G.K. | Gagan B.S.,The situation involves an employer-employee relationship and a payment issue.
A_WithGloss,3,yera enna bailee tundu maltd'd eddae maltijji,Someone broke my fence and did not fix it,Someone broke my fence and did not fix it,Torts/Individuals,,Torts/Individuals,Land/Property,Housing,0.90,True,True,False,0.6610,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Ravishankara G.K. | Nikitha A.,The situation involves physical injury or damage to property caused by someone else's actions.
A_WithGloss,4,yan yera-g kas kori boca al poyal,I gave someone money and they disappeared,I gave someone money and they disappeared,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Housing,0.90,True,True,False,0.6382,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Ravishankara G.K. | Nikitha A.,"The situation involves giving someone money and them disappearing, which is a classic case of debt or financial loss."
A_WithGloss,5,enna nerakare enna jagga detae,My neighbor took my land,My neighbor took my land,Land/Property,,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,0.6622,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Ravishankara G.K. | Nikitha A.,The situation involves a dispute over ownership or possession of land.
A_WithGloss,6,yera enan badutu padi boca enna kai benae undu,After someone hit me with a stick my hand hurts,After someone hit me with a stick my hand hurts,Torts/Individuals,,Torts/Individuals,Consumer/Money/Debt,Work/Employment,0.90,True,True,False,0.6799,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Nikitha A. | Ravishankara G.K.,The situation involves intentional harm caused to an individual.
A_WithGloss,7,enna dhani yan podu panda pandare matra dal karana kori-ijjar,My boss told me to leave without any reason,My boss told me to leave without any reason,Work/Employment,,Work/Employment,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,0.6767,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Ravishankara G.K. | Nikitha A.,The situation involves an employment-related issue with a boss asking someone to leave without reason.
A_WithGloss,8,yan kas sala kenuna jana wapas koryijare,The person I lent money to is not returning it,The person I lent money to is not returning it,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Housing,0.90,True,True,False,0.6735,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Ravishankara G.K. | Nikitha A.,"The situation involves lending and borrowing of money, which falls under the umbrella of consumer finance."
A_WithGloss,9,enna oppigay ijjandae yera enna ille-g battae,Someone came into my house without my permission,Someone came into my house without my permission,Housing,Land/Property,Torts/Individuals,Consumer/Money/Debt,Housing,0.90,False,True,True,0.6734,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Nikitha A. | Ravishankara G.K.,Unauthorized entry into the person's property
A_WithGloss,10,akleg enkulu yette nirnaya maltina kas jasti bodu,They want more money than what we decided,They want more money than what we decided,Consumer/Money/Debt,,Consumer/Money/Debt,Torts/Individuals,Courts/Legal-System,0.90,True,True,False,0.6862,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | State | Ravishankara G.K.,The situation involves a disagreement about money and an agreement that was made.
A_WithGloss,11,enkulu yeppa mugiodu panda nirnaya malponaid dumbu mugiyere,They ended our agreement before the time we decided,They ended our agreement before the time we decided,Consumer/Money/Debt,Courts/Legal-System,Torts/Individuals,Consumer/Money/Debt,Courts/Legal-System,0.90,False,True,True,0.6964,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | State | Ravishankara G.K.,"The situation involves a dispute over an insurance claim and personal property (the vehicle), which falls under the realm of tort law."
A_WithGloss,12,yan kakaji-da mittae pudar padyae matra dadae baryina panda gothiji,I signed a paper but did not understand what it said,I signed a paper but did not understand what it said,Courts/Legal-System,Consumer/Money/Debt,Courts/Legal-System,Work/Employment,Torts/Individuals,0.80,True,True,False,0.6785,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Ravishankara G.K. | Premalatha,"The situation involves signing a document without understanding its contents, which suggests a legal or contractual problem that may require clarification or resolution through legal means."
A_WithGloss,13,yan kakaji-da mitte pudar padi boca akulu dadae nirnaya maltere panda maltijere,After I signed the paper they did not do what they agreed to,After I signed the paper they did not do what they agreed to,Consumer/Money/Debt,,Consumer/Money/Debt,Courts/Legal-System,Work/Employment,0.80,True,True,False,0.6626,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Ravishankara G.K. | Premalatha,The situation involves a breach of agreement related to financial or economic matters.
A_WithGloss,14,enk wo court-g podu panda gothiji,I don't know which court I should go to,I don't know which court I should go to,Courts/Legal-System,,Courts/Legal-System,Housing,Consumer/Money/Debt,0.90,True,True,False,0.7516,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Nikitha A. | Ravishankara G.K.,The person's uncertainty about which court to go to indicates a need for guidance on legal procedures.
A_WithGloss,15,enk kas korodu-na jana betae jagga ullare,The person who owes me money is in a different place,The person who owes me money is in a different place,Courts/Legal-System,Consumer/Money/Debt,Consumer/Money/Debt,Torts/Individuals,Housing,0.80,False,True,True,0.6912,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Ravishankara G.K. | R.K. Usha Devi,The situation revolves around someone owing the person money and being physically located elsewhere.
A_WithGloss,16,enna neerekare-na mara enna ille-da mitte burud'd hal maltinde,My neighbor's tree fell on my house and damaged it,My neighbor's tree fell on my house and damaged it,Torts/Individuals,Housing,Torts/Individuals,Housing,Consumer/Money/Debt,0.90,True,True,False,0.6663,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Nikitha A. | Ravishankara G.K.,"The situation involves an individual causing harm to another through their actions, which falls under tort law."
A_WithGloss,17,yera enna jagga-da mittae kenijja culud'd popujae,Someone is living on my land without asking and won't leave,Someone is living on my land without asking and won't leave,Land/Property,Housing,Torts/Individuals,Land/Property,Housing,0.90,False,True,True,0.6698,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Ravishankara G.K. | Nikitha A.,"The situation involves an individual's property (land) being invaded by another individual without consent, which falls under the realm of tort law."
A_WithGloss,18,betae jana aklena samanda mitte enna pudar pad'd maruwae,Someone is selling their things using my name,Someone is selling their things using my name,IP/Identity,,IP/Identity,Torts/Individuals,Consumer/Money/Debt,0.90,True,True,False,0.6764,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Ravishankara G.K. | Nikitha A.,The situation involves the misuse of personal information and identity.
A_WithGloss,19,enna parat dhoni enan posa belae soor malpere ontaiyare,My old employer is stopping me from starting my own work,My old employer is stopping me from starting my own work,Work/Employment,,Work/Employment,Torts/Individuals,Consumer/Money/Debt,0.90,True,True,False,0.6659,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Ravishankara G.K. | Nikitha A.,The situation involves an individual's ability to start their own work being restricted by their previous employer.
A_WithGloss,20,enna kotumba enna popae tir poyi boca enk korpina da jagga detere,After my father passed away my family took the land that was meant to be given to me,After my father passed away my family took the land that was meant to be given to me,Estates/Wills,Land/Property,Land/Property,Torts/Individuals,Housing,0.90,False,True,True,0.6549,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Nikitha A. | Ravishankara G.K.,The situation involves a dispute over ownership and distribution of land among family members.
B_TuluOnly,1,enna yejamaana enna kas wapas koryiijare,My landlord did not give back my money,enna yejamaana enna kas wapas koryiijare,Housing,Consumer/Money/Debt,Land/Property,Torts/Individuals,Housing,0.90,False,True,True,0.4914,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Daneshwari | Dr. Alfred Aranha,The situation involves someone taking the person's land without permission and refusing to leave.
B_TuluOnly,2,enna dhani i thingoal kas koryijare,My employer did not pay me this month,enna dhani i thingoal kas koryijare,Work/Employment,,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,False,False,False,0.5240,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Ravishankara G.K. | R.K. Usha Devi,The situation involves a property dispute and someone taking land without permission.
B_TuluOnly,3,yera enna bailee tundu maltd'd eddae maltijji,Someone broke my fence and did not fix it,yera enna bailee tundu maltd'd eddae maltijji,Torts/Individuals,,Land/Property,Torts/Individuals,Courts/Legal-System,0.80,False,True,True,0.3693,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Ravishankara G.K. | Nikitha A.,The situation involves issues related to property or land.
B_TuluOnly,4,yan yera-g kas kori boca al poyal,I gave someone money and they disappeared,yan yera-g kas kori boca al poyal,Consumer/Money/Debt,,Land/Property,Torts/Individuals,Housing,0.90,False,False,False,0.4524,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Nikitha A. | Dr. Alfred Aranha,The situation involves someone taking the person's land without permission and refusing to leave.
B_TuluOnly,5,enna nerakare enna jagga detae,My neighbor took my land,enna nerakare enna jagga detae,Land/Property,,Consumer/Money/Debt,Torts/Individuals,Housing,0.90,False,False,False,0.4735,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Daneshwari | Ravishankara G.K.,The situation revolves around the individual's financial struggles with their vehicle insurance and claims process.
B_TuluOnly,6,yera enan badutu padi boca enna kai benae undu,After someone hit me with a stick my hand hurts,yera enan badutu padi boca enna kai benae undu,Torts/Individuals,,Consumer/Money/Debt,Housing,Work/Employment,0.90,False,False,False,0.4711,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Daneshwari | R.K. Usha Devi,The situation revolves around the couple's financial concerns and debt issues.
B_TuluOnly,7,enna dhani yan podu panda pandare matra dal karana kori-ijjar,My boss told me to leave without any reason,enna dhani yan podu panda pandare matra dal karana kori-ijjar,Work/Employment,,Land/Property,Torts/Individuals,Courts/Legal-System,0.90,False,False,False,0.4310,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Ravishankara G.K. | State,The situation involves a property dispute and the person's land or property being taken without permission.
B_TuluOnly,8,yan kas sala kenuna jana wapas koryijare,The person I lent money to is not returning it,yan kas sala kenuna jana wapas koryijare,Consumer/Money/Debt,,Land/Property,Torts/Individuals,Consumer/Money/Debt,0.80,False,True,True,0.4171,Neelamegham vs. Assistant Commissioner & Special LAO,Neelamegham | Dr. Alfred Aranha | Ravishankara G.K.,Unauthorized occupation or trespassing
